Solving for objective max_perf with perfLB=10.0 Gflop/s, areaUB=1000.0 mm2, powerUB=10000000000.0 W

######################################################
List of objective values:
1. ['Intel Core i9-13900K', 'DDR4-3200', '1x L3s', '0.25 App. AI, 100.0 MB Workset']: 7.6593e+09
894. ['Intel Core i9-13900K', 'HBM2', '47x L3s', '1 App. AI, 25.0 MB Workset']: 2.2860e+11
895. ['Intel Core i9-13900K', 'DDR4-3200', '48x L3s', '1 App. AI, 25.0 MB Workset']: 2.2860e+11
896. ['Intel Core i9-13900K', 'HBM2', '48x L3s', '1 App. AI, 25.0 MB Workset']: 2.2860e+11
897. ['Intel Core i9-13900K', 'DDR4-3200', '49x L3s', '1 App. AI, 25.0 MB Workset']: 2.2860e+11
898. ['Intel Core i9-13900K', 'HBM2', '49x L3s', '1 App. AI, 25.0 MB Workset']: 2.2860e+11
899. ['Intel Core i9-13900K', 'DDR4-3200', '50x L3s', '1 App. AI, 25.0 MB Workset']: 2.2860e+11
900. ['Intel Core i9-13900K', 'HBM2', '50x L3s', '1 App. AI, 25.0 MB Workset']: 2.2860e+11

Best design point:
______________________________________________________
design point = ['Intel Core i9-13900K', 'HBM2', '30x L3s', '0.25 App. AI, 100.0 MB Workset']
obj = max_perf
core = {'name': 'Intel Core i9-13900K', 'core_freq': 3000000000.0, 'core_count': 24, 'core_area': 7e-06, 'die_voltage_nominal': 1.2, 'l1_capacity': 80000.0, 'l2_capacity': 2000000.0}
mem = {'name': 'HBM2', 'mc_bw': 256000000000.0, 'mc_count': 4, 'mc_area': 6.6831e-06, 'mc_freq': 1000000000.0, 'energy_per_wire': 3.5e-12, 'bump_pitch': 4e-05, 'current_per_bump': 0.0833333333, 'l3_bw': 30000000000.0, 'T_j_max': 110}
l3_config = {'name': '30x L3s', 'l3_count': 30}
app_prop = {'name': '0.25 App. AI, 100.0 MB Workset', 'ai_app': 0.25, 'workset_size': 100000000.0}
[92mfeasible = True[0m
obj value = 2.2860e+11
perf = 2.2860e+11
A_die = 3.1673e-04
P_die = 238.2532948
core_freq = 3.0000e+09
{
	theta_jc = 0.1
	theta_ca = 0.2
	theta_jb = 0.5
	theta_ba = 1.5
	T_ambient = 25
	T_j_max = 110
	core_area = 7.0000e-06
	l1_area = 1.0000e-06
	l2_area = 2.0000e-06
	l3_area = 1.0000e-06
	mc_area = 6.6831e-06
	io_area = 2.0000e-05
	l3_power = 0.2
	io_power = 10
	bump_pitch = 4.0000e-05
	die_voltage_nominal = 1.2
	current_per_bump = 0.0833333333
	mc_bump_count = 288
	io_bump_count = 114
	package_layer = 6
	link_pitch = 2.5000e-05
	wires_per_mc = 288
	energy_per_wire = 3.5000e-12
	mc_freq = 1.0000e+09
	mc_freq_nominal = 1.6000e+09
	mc_voltage_nominal = 1.2
	mc_power_ctrl_nominal = 3
	ai_app = 0.25
	IPC = 3.175
	capacitance_per_core = 2.9608e-09
	l1_capacity = 8.0000e+04
	l2_capacity = 2.0000e+06
	l3_capacity = 2.0000e+06
	l3_hit_rate_nominal = 0.9
	l3_bw = 3.0000e+10
	mc_bw = 2.5600e+11
	workset_size = 1.0000e+08
	core_freq_min = 8.0000e+08
	core_freq_base_max = 3.0000e+09
	core_freq_absolute_max = 1.0000e+10
	core_freq_nominal = 3.6000e+09
	core_count = 24
	l3_count = 30
	mc_count = 4
	io_count = 1
	core_freq = 3.0000e+09
	perfLB = 1.0000e+10
	areaUB = 0.001
	powerUB = 1.0000e+10
	theta_ja = 0.26086956521739135
	delta_T = 85
	P_max = 325.83333333333326
	mc_voltage = 0.75
	mc_power_phys = 0.39375
	mc_power_ctrl = 1.875
	mc_power = 2.26875
	arithmetic_intensity = 0.25531045751633985
	core_area_multiplier = 1.0
	l1l2_area_multiplier = 1.0
	die_voltage = 1.0
	core_power = 8.88242895
	P_die = 238.2532948
	A_die = 3.1673e-04
	power_bump_count = 5.7181e+03
	max_wire = 1.0462e+04
	l3_to_workset_ratio = 0.6
	l3_hit_rate = 0.54
	compute_throughput = 2.2860e+11
	l3_bound = 9.0000e+11
	mc_bound = 2.2261e+12
	system_bw = 9.0000e+11
	compute_bound = 2.2860e+11
	io_bound = 2.2978e+11
	perf = 2.2860e+11
}
######################################################
900 design points evaluated.
[92m0 infeasible design points removed.[0m
